[1, 1, [2, 1], [2, 2], [1, 2]]
[1, 2, [2, 5], [2, 4], [1, 4]]
[1, 3, [1, 5], [0, 5], [0, 4]]
[1, 4, [2, 3], [1, 3], [0, 3]]
[1, 5, [0, 2], [0, 1], [0, 0]]
[1, 6, [2, 0], [1, 0], [1, 1]]
[2, 1, [0, 5], [1, 4], [1, 5]]
[2, 2, [0, 0], [1, 0], [2, 0]]
[2, 3, [0, 1], [1, 1], [0, 2]]
[2, 4, [1, 2], [2, 1], [2, 2]]
[2, 5, [0, 3], [1, 3], [0, 4]]
[2, 6, [2, 3], [2, 4], [2, 5]]
[3, 1, [1, 5], [2, 4], [2, 5]]
[3, 2, [0, 0], [0, 1], [1, 1]]
[3, 3, [1, 0], [2, 0], [2, 1]]
[3, 4, [0, 2], [1, 2], [2, 2]]
[3, 5, [0, 3], [0, 4], [0, 5]]
[3, 6, [1, 3], [2, 3], [1, 4]]
[4, 1, [2, 4], [2, 5], [1, 5]]
[4, 2, [0, 0], [0, 1], [0, 2]]
[4, 3, [1, 0], [2, 0], [1, 1]]
[4, 4, [2, 1], [2, 2], [1, 2]]
[4, 5, [0, 3], [1, 3], [2, 3]]
[4, 6, [1, 4], [0, 4], [0, 5]]
[5, 1, [1, 4], [2, 4], [2, 5]]
[5, 2, [0, 0], [0, 1], [0, 2]]
[5, 3, [1, 0], [2, 0], [1, 1]]
[5, 4, [2, 1], [2, 2], [2, 3]]
[5, 5, [1, 2], [1, 3], [0, 3]]
[5, 6, [0, 4], [0, 5], [1, 5]]
[6, 1, [2, 4], [1, 5], [2, 5]]
[6, 2, [0, 0], [1, 0], [2, 0]]
[6, 3, [0, 1], [1, 1], [0, 2]]
[6, 4, [2, 1], [1, 2], [2, 2]]
[6, 5, [0, 3], [1, 3], [2, 3]]
[6, 6, [0, 4], [1, 4], [0, 5]]
[7, 1, [1, 4], [2, 4], [2, 5]]
[7, 2, [0, 0], [1, 0], [2, 0]]
[7, 3, [0, 1], [1, 1], [2, 1]]
[7, 4, [0, 2], [1, 2], [0, 3]]
[7, 5, [1, 3], [2, 3], [2, 2]]
[7, 6, [0, 4], [0, 5], [1, 5]]
[8, 1, [1, 4], [2, 4], [2, 5]]
[8, 2, [0, 0], [1, 0], [2, 0]]
[8, 3, [1, 1], [2, 1], [2, 2]]
[8, 4, [0, 1], [0, 2], [0, 3]]
[8, 5, [1, 2], [1, 3], [2, 3]]
[8, 6, [0, 4], [0, 5], [1, 5]]
[9, 1, [0, 5], [1, 5], [2, 5]]
[9, 2, [0, 0], [0, 1], [1, 1]]
[9, 3, [1, 0], [2, 0], [2, 1]]
[9, 4, [0, 2], [0, 3], [0, 4]]
[9, 5, [1, 2], [2, 2], [2, 3]]
[9, 6, [1, 3], [1, 4], [2, 4]]
[10, 1, [2, 3], [2, 4], [2, 5]]
[10, 2, [0, 0], [0, 1], [0, 2]]
[10, 3, [1, 0], [2, 0], [1, 1]]
[10, 4, [1, 2], [2, 1], [2, 2]]
[10, 5, [0, 3], [0, 4], [0, 5]]
[10, 6, [1, 3], [1, 4], [1, 5]]
[11, 1, [1, 5], [2, 4], [2, 5]]
[11, 2, [0, 0], [1, 0], [2, 0]]
[11, 3, [0, 1], [1, 1], [0, 2]]
[11, 4, [1, 2], [2, 2], [2, 1]]
[11, 5, [0, 3], [0, 4], [0, 5]]
[11, 6, [1, 3], [2, 3], [1, 4]]
[12, 1, [1, 5], [2, 4], [2, 5]]
[12, 2, [0, 0], [1, 0], [2, 0]]
[12, 3, [0, 1], [1, 1], [2, 1]]
[12, 4, [0, 2], [1, 2], [2, 2]]
[12, 5, [0, 3], [0, 4], [0, 5]]
[12, 6, [1, 3], [2, 3], [1, 4]]
[13, 1, [1, 5], [2, 5], [2, 4]]
[13, 2, [0, 0], [1, 0], [2, 0]]
[13, 3, [0, 1], [0, 2], [0, 3]]
[13, 4, [1, 1], [1, 2], [1, 3]]
[13, 5, [2, 1], [2, 2], [2, 3]]
[13, 6, [0, 4], [1, 4], [0, 5]]
[14, 1, [1, 5], [2, 5], [2, 4]]
[14, 2, [0, 0], [1, 0], [0, 1]]
[14, 3, [1, 1], [2, 1], [2, 0]]
[14, 4, [0, 2], [1, 2], [0, 3]]
[14, 5, [1, 3], [2, 3], [2, 2]]
[14, 6, [0, 4], [1, 4], [0, 5]]
[15, 1, [0, 5], [1, 5], [2, 5]]
[15, 2, [0, 0], [0, 1], [0, 2]]
[15, 3, [1, 0], [2, 0], [1, 1]]
[15, 4, [1, 2], [2, 1], [2, 2]]
[15, 5, [0, 3], [1, 3], [0, 4]]
[15, 6, [1, 4], [2, 4], [2, 3]]
[16, 1, [1, 4], [1, 5], [2, 5]]
[16, 2, [0, 0], [0, 1], [0, 2]]
[16, 3, [2, 1], [1, 0], [2, 0]]
[16, 4, [1, 1], [1, 2], [1, 3]]
[16, 5, [2, 2], [2, 3], [2, 4]]
[16, 6, [0, 3], [0, 4], [0, 5]]
[17, 1, [1, 5], [2, 4], [2, 5]]
[17, 2, [0, 0], [1, 0], [0, 1]]
[17, 3, [1, 1], [2, 1], [2, 0]]
[17, 4, [0, 2], [1, 2], [2, 2]]
[17, 5, [0, 3], [0, 4], [0, 5]]
[17, 6, [1, 3], [2, 3], [1, 4]]
[18, 1, [1, 5], [2, 4], [2, 5]]
[18, 2, [0, 0], [1, 0], [1, 1]]
[18, 3, [2, 0], [2, 1], [2, 2]]
[18, 4, [0, 1], [0, 2], [1, 2]]
[18, 5, [0, 3], [1, 3], [2, 3]]
[18, 6, [0, 4], [0, 5], [1, 4]]
[19, 1, [0, 3], [0, 4], [0, 5]]
[19, 2, [0, 0], [1, 0], [2, 0]]
[19, 3, [1, 1], [2, 1], [2, 2]]
[19, 4, [0, 1], [0, 2], [1, 2]]
[19, 5, [1, 3], [2, 3], [2, 4]]
[19, 6, [1, 4], [1, 5], [2, 5]]
[20, 1, [2, 3], [2, 4], [2, 5]]
[20, 2, [0, 0], [1, 0], [0, 1]]
[20, 3, [1, 1], [2, 0], [2, 1]]
[20, 4, [0, 2], [1, 2], [2, 2]]
[20, 5, [0, 3], [1, 3], [1, 4]]
[20, 6, [0, 4], [0, 5], [1, 5]]
[21, 1, [1, 4], [2, 4], [2, 5]]
[21, 2, [0, 0], [1, 0], [1, 1]]
[21, 3, [0, 1], [0, 2], [1, 2]]
[21, 4, [2, 0], [2, 1], [2, 2]]
[21, 5, [0, 3], [1, 3], [2, 3]]
[21, 6, [0, 4], [0, 5], [1, 5]]
[22, 1, [2, 4], [2, 5], [1, 5]]
[22, 2, [0, 0], [1, 0], [1, 1]]
[22, 3, [2, 0], [2, 1], [2, 2]]
[22, 4, [0, 1], [0, 2], [0, 3]]
[22, 5, [1, 2], [1, 3], [2, 3]]
[22, 6, [0, 4], [1, 4], [0, 5]]
[23, 1, [1, 4], [2, 4], [2, 5]]
[23, 2, [0, 0], [1, 0], [2, 0]]
[23, 3, [0, 1], [0, 2], [1, 2]]
[23, 4, [1, 1], [2, 1], [2, 2]]
[23, 5, [0, 3], [1, 3], [2, 3]]
[23, 6, [0, 4], [0, 5], [1, 5]]
[24, 1, [1, 5], [2, 5], [2, 4]]
[24, 2, [0, 0], [1, 0], [2, 0]]
[24, 3, [0, 1], [1, 1], [2, 1]]
[24, 4, [0, 2], [0, 3], [1, 3]]
[24, 5, [1, 2], [2, 2], [2, 3]]
[24, 6, [0, 4], [0, 5], [1, 4]]
[25, 1, [1, 5], [2, 4], [2, 5]]
[25, 2, [0, 0], [1, 0], [2, 0]]
[25, 3, [0, 1], [0, 2], [1, 1]]
[25, 4, [2, 1], [2, 2], [2, 3]]
[25, 5, [0, 3], [1, 2], [1, 3]]
[25, 6, [0, 4], [0, 5], [1, 4]]
[26, 1, [0, 5], [1, 5], [2, 5]]
[26, 2, [1, 0], [0, 0], [0, 1]]
[26, 3, [2, 0], [2, 1], [1, 1]]
[26, 4, [1, 2], [0, 2], [0, 3]]
[26, 5, [2, 2], [2, 3], [2, 4]]
[26, 6, [1, 3], [1, 4], [0, 4]]
[27, 1, [2, 3], [2, 4], [2, 5]]
[27, 2, [0, 0], [1, 0], [1, 1]]
[27, 3, [2, 0], [2, 1], [2, 2]]
[27, 4, [0, 1], [0, 2], [1, 2]]
[27, 5, [0, 3], [0, 4], [0, 5]]
[27, 6, [1, 3], [1, 4], [1, 5]]
